benchmark,input,smt_to_ll_seconds,slot_generation_seconds,chain_generation_seconds,first_generation_seconds,last_generation_seconds,random_generation_seconds,all-bfs_generation_seconds,all-dfs_generation_seconds,slot_solver_time,chain_solver_time,first_solver_time,last_solver_time,random_solver_time,all-bfs_solver_time,all-dfs_solver_time,slot_total_seconds,chain_total_seconds,first_total_seconds,last_total_seconds,random_total_seconds,all-bfs_total_seconds,all-dfs_total_seconds
05,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/05.smt2,21.824,5.921,6.671,6.62,6.326,6.302,15.937,16.121,41.2504,43.3584,155.131,82.0949,13.4026,77.6835,73.0946,68.9954,71.8534,183.575,110.245,41.5286,115.445,111.04
113,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/113.smt2,28.84,26.758,30.798,27.781,27.946,27.97,27.988,28.573,0.467148,2.05401,6.68439,3.91493,3.77549,5.03278,3.65394,56.0651,61.692,63.3054,60.7009,60.5855,61.8608,61.0669
12,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/12.smt2,10.734,2.645,2.868,2.914,2.897,2.96,3.311,3.274,1.04553,2.23519,3.98259,5.50023,2.48131,6.58471,4.6653,14.4245,15.8372,17.6306,19.1312,16.1753,20.6297,18.6733
14,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/14.smt2,18.404,8.712,8.581,8.698,9.164,8.655,12.441,11.871,1.20639,3.75184,9.17601,4.583,5.01228,5.77785,5.31676,28.3224,30.7368,36.278,32.151,32.0713,36.6228,35.5918
18,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/18.smt2,28.625,10.071,10.891,10.27,10.528,10.284,21.955,21.618,650.013,126.052,212.644,147.77,60.9159,70.811,46.5954,688.709,165.568,251.539,186.923,99.8249,121.391,96.8384
22,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/22.smt2,28.698,9.48,10.992,10.844,10.446,10.64,22.314,21.587,572.429,189.051,227.243,340.868,126.534,272.661,536.625,610.607,228.741,266.785,380.012,165.872,323.673,586.91
26,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/26.smt2,21.933,5.962,6.686,6.208,6.258,6.596,16.198,16.228,126.166,126.272,37.0162,46.1414,19.6293,13.139,28.706,154.061,154.891,65.1572,74.3324,48.1583,51.27,66.867
33,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/33.smt2,21.395,9.228,9.947,9.879,9.736,9.885,17.513,14.109,54.449,18.0783,51.8698,5.17823,2.8278,14.8608,18.5946,85.072,49.4203,83.1438,36.3092,34.1078,53.7688,54.0986
35,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/35.smt2,28.477,13.707,15.079,14.235,14.09,14.534,25.137,25.548,32.6655,44.2297,66.3431,18.5983,12.4052,52.9977,28.7435,74.8495,87.7857,109.055,61.1653,55.4162,106.612,82.7685
37,/home/hassan/Desktop/SLOT/scripts/../slot-benchmark-sat-with-select/QF_BV/mcm/37.smt2,28.602,11.924,12.81,12.413,12.89,12.395,23.751,23.724,284.685,202.881,187.036,274.136,117.362,62.9654,243.564,325.211,244.293,228.051,315.628,158.359,115.318,295.89
